时间	开盘	最高	最低	收盘	涨幅	振幅	总手	金额	换手%	成交次数
"2011-01-04,二"	3171.8	3215	3159.2	3192	1.11%	1.77%	"190,256"	"182,092,060,000"	--	0
"2011-01-05,三"	3188	3203.8	3176.4	3186.8	-0.16%	0.86%	"146,115"	"139,849,350,000"	--	0
"2011-01-06,四"	3197.6	3224.2	3166	3173	-0.43%	1.83%	"186,234"	"177,956,810,000"	--	0
"2011-01-07,五"	3162	3230	3145	3171	-0.06%	2.68%	"217,547"	"208,035,330,000"	--	0
"2011-01-10,一"	3183	3198	3115.4	3122	-1.55%	2.60%	"186,662"	"177,035,050,000"	--	0
"2011-01-11,二"	3130	3141	3106	3140	0.58%	1.12%	"171,964"	"161,097,720,000"	--	0
"2011-01-12,三"	3151	3165.4	3107	3153.6	0.43%	1.86%	"206,573"	"194,454,710,000"	--	0
"2011-01-13,四"	3167	3174.8	3128.4	3147	-0.21%	1.47%	"201,842"	"190,801,460,000"	--	0
"2011-01-14,五"	3143	3144.8	3089	3097.4	-1.58%	1.77%	"207,938"	"194,231,840,000"	--	0
"2011-01-17,一"	3090.2	3096	2967.6	2971.8	-4.06%	4.15%	"202,138"	"183,812,330,000"	--	0
"2011-01-18,二"	2971.6	2986.8	2960.2	2974	0.07%	0.90%	"143,426"	"127,905,599,000"	--	0
"2011-01-19,三"	2977.8	3052.8	2968	3044.6	2.37%	2.85%	"157,936"	"142,516,890,000"	--	0
"2011-01-20,四"	3034.2	3038	2942.2	2945.4	-3.26%	3.15%	"39,186"	"35,197,724,000"	--	0
"2011-01-21,五"	2940	3039	2935.6	2985.4	1.36%	3.51%	"15,878"	"14,202,068,000"	--	0
"2011-01-24,一"	3005.4	3018.4	2954.2	2970.2	-0.51%	2.15%	"245,416"	"219,803,340,000"	--	0
"2011-01-25,二"	2979	2982.8	2935.2	2960	-0.34%	1.60%	"225,117"	"199,814,600,000"	--	0
"2011-01-26,三"	2955.4	2999.6	2951.4	2987.2	0.92%	1.63%	"211,212"	"188,671,560,000"	--	0
"2011-01-27,四"	2983.6	3049.6	2943	3030.4	1.45%	3.57%	"264,338"	"238,656,110,000"	--	0
"2011-01-28,五"	3026.4	3057.4	3020.2	3045.8	0.51%	1.23%	"164,248"	"149,681,260,000"	--	0
